causa_de_muerte;sexo;periodo;muertes;población INE;tasa_mortalidad
001-102  I-XXII.Todas las causas;Hombres;1980;99071;1684490;5881.36
001-102  I-XXII.Todas las causas;Hombres;1981;101371;1721573;5888.28
001-102  I-XXII.Todas las causas;Hombres;1982;99509;1748866;5689.92
001-102  I-XXII.Todas las causas;Hombres;1983;105461;1777165;5934.23
001-102  I-XXII.Todas las causas;Hombres;1984;105095;1804686;5823.45
001-102  I-XXII.Todas las causas;Hombres;1985;110715;1833591;6038.15
001-102  I-XXII.Todas las causas;Hombres;1986;109126;1879026;5807.58
001-102  I-XXII.Todas las causas;Hombres;1987;109911;1940681;5663.53
001-102  I-XXII.Todas las causas;Hombres;1988;114040;2007437;5680.88
001-102  I-XXII.Todas las causas;Hombres;1989;116822;2072463;5636.87
001-102  I-XXII.Todas las causas;Hombres;1990;121321;2136519;5678.44
001-102  I-XXII.Todas las causas;Hombres;1991;123243;2197924;5607.25
001-102  I-XXII.Todas las causas;Hombres;1992;121784;2264728;5377.42
001-102  I-XXII.Todas las causas;Hombres;1993;126576;2328741;5435.38
001-102  I-XXII.Todas las causas;Hombres;1994;126907;2397576;5293.14
001-102  I-XXII.Todas las causas;Hombres;1995;131222;2466010;5321.23
001-102  I-XXII.Todas las causas;Hombres;1996;134496;2540147;5294.81
001-102  I-XXII.Todas las causas;Hombres;1997;136244;2609082;5221.91
001-102  I-XXII.Todas las causas;Hombres;1998;142613;2683704;5314.04
001-102  I-XXII.Todas las causas;Hombres;1999;147626;2753555;5361.29
001-102  I-XXII.Todas las causas;Hombres;2000;142842;2810300;5082.8
001-102  I-XXII.Todas las causas;Hombres;2001;143828;2872106;5007.75
001-102  I-XXII.Todas las causas;Hombres;2002;147482;2940001;5016.39
001-102  I-XXII.Todas las causas;Hombres;2003;153380;2989967;5129.82
001-102  I-XXII.Todas las causas;Hombres;2004;148981;3013230;4944.23
001-102  I-XXII.Todas las causas;Hombres;2005;155460;3020568;5146.71
001-102  I-XXII.Todas las causas;Hombres;2006;148495;3093602;4800.07
001-102  I-XXII.Todas las causas;Hombres;2007;155005;3133315;4947
001-102  I-XXII.Todas las causas;Hombres;2008;154148;3179764;4847.78
001-102  I-XXII.Todas las causas;Hombres;2009;155227;3252782;4772.13
001-102  I-XXII.Todas las causas;Hombres;2010;155235;3325137;4668.53
001-102  I-XXII.Todas las causas;Hombres;2011;157663;3406554;4628.23
001-102  I-XXII.Todas las causas;Hombres;2012;164164;3475406;4723.59
001-102  I-XXII.Todas las causas;Hombres;2013;159581;3535710;4513.41
001-102  I-XXII.Todas las causas;Hombres;2014;161949;3617044;4477.39
001-102  I-XXII.Todas las causas;Hombres;2015;173380;3684229;4706
001-102  I-XXII.Todas las causas;Hombres;2016;169317;3732871;4535.84
001-102  I-XXII.Todas las causas;Hombres;2017;174972;3789274;4617.56
001-102  I-XXII.Todas las causas;Hombres;2018;176506;3854490;4579.23
001-102  I-XXII.Todas las causas;Hombres;2019;173469;3920576;4424.58
001-102  I-XXII.Todas las causas;Hombres;2020;206996;3991916;5185.38
001-102  I-XXII.Todas las causas;Hombres;2021;189212;4038757;4684.91
001-102  I-XXII.Todas las causas;Hombres;2022;192885;4117903;4684.06
001-102  I-XXII.Todas las causas;Hombres;2023;180041;4298082;4188.87
001-102  I-XXII.Todas las causas;Mujeres;1980;109357;4213540;4474.91
001-102  I-XXII.Todas las causas;Mujeres;1981;111680;2443783;4453.78
001-102  I-XXII.Todas las causas;Mujeres;1982;109751;2507533;4288.83
001-102  I-XXII.Todas las causas;Mujeres;1983;118118;2558996;4524.84
001-102  I-XXII.Todas las causas;Mujeres;1984;115400;2610435;4335.74
001-102  I-XXII.Todas las causas;Mujeres;1985;122855;2661599;4535.5
001-102  I-XXII.Todas las causas;Mujeres;1986;122610;2708744;4419.4
001-102  I-XXII.Todas las causas;Mujeres;1987;121307;2774358;4273.39
001-102  I-XXII.Todas las causas;Mujeres;1988;125997;2838657;4311.98
001-102  I-XXII.Todas las causas;Mujeres;1989;128363;2922024;4284.15
001-102  I-XXII.Todas las causas;Mujeres;1990;132478;2996228;4309.39
001-102  I-XXII.Todas las causas;Mujeres;1991;134771;3074174;4278.22
001-102  I-XXII.Todas las causas;Mujeres;1992;131746;3150162;4081.29
001-102  I-XXII.Todas las causas;Mujeres;1993;136716;3228046;4137.53
001-102  I-XXII.Todas las causas;Mujeres;1994;136410;3304288;4026.48
001-102  I-XXII.Todas las causas;Mujeres;1995;140154;3387822;4038.61
001-102  I-XXII.Todas las causas;Mujeres;1996;143322;3470349;4025.49
001-102  I-XXII.Todas las causas;Mujeres;1997;144249;3560364;3962.76
001-102  I-XXII.Todas las causas;Mujeres;1998;150890;3640110;4046.54
001-102  I-XXII.Todas las causas;Mujeres;1999;156453;3728866;4103.99
001-102  I-XXII.Todas las causas;Mujeres;2000;151929;3812216;3914.29
001-102  I-XXII.Todas las causas;Mujeres;2001;151647;3881389;3834.75
001-102  I-XXII.Todas las causas;Mujeres;2002;156594;3954545;3875.57
001-102  I-XXII.Todas las causas;Mujeres;2003;165554;4040546;4035.07
001-102  I-XXII.Todas las causas;Mujeres;2004;157984;4102873;3822.09
001-102  I-XXII.Todas las causas;Mujeres;2005;166454;4133445;4011.6
001-102  I-XXII.Todas las causas;Mujeres;2006;158327;4149317;3742.47
001-102  I-XXII.Todas las causas;Mujeres;2007;164585;4230548;3850.98
001-102  I-XXII.Todas las causas;Mujeres;2008;166838;4273845;3856.16
001-102  I-XXII.Todas las causas;Mujeres;2009;166284;4326531;3774.73
001-102  I-XXII.Todas las causas;Mujeres;2010;164733;4405185;3672.76
001-102  I-XXII.Todas las causas;Mujeres;2011;168492;4485264;3681.72
001-102  I-XXII.Todas las causas;Mujeres;2012;177736;4576443;3820.12
001-102  I-XXII.Todas las causas;Mujeres;2013;171354;4652634;3632.53
001-102  I-XXII.Todas las causas;Mujeres;2014;175151;4717212;3644.7
001-102  I-XXII.Todas las causas;Mujeres;2015;189838;4805632;3889.82
001-102  I-XXII.Todas las causas;Mujeres;2016;182347;4880385;3697.72
001-102  I-XXII.Todas las causas;Mujeres;2017;190555;4931332;3814.9
001-102  I-XXII.Todas las causas;Mujeres;2018;191496;4995025;3781.54
001-102  I-XXII.Todas las causas;Mujeres;2019;186267;5063964;3626.45
001-102  I-XXII.Todas las causas;Mujeres;2020;222600;5136347;4264.76
001-102  I-XXII.Todas las causas;Mujeres;2021;198350;5219522;3761.81
001-102  I-XXII.Todas las causas;Mujeres;2022;208793;5272727;3892.56
001-102  I-XXII.Todas las causas;Mujeres;2023;193882;5610155;3455.91
